id;nom;groupe;amendements_adoptes;hemicycle_interventions;hemicycle_interventions_courtes;semaines_presence
369;Nathalie Nieson;SRC;0;0;0;1
370;Laurence Abeille;ECOLO;13;0;0;1
371;Jean-Christophe Fromantin;UDI;1;0;0;1
372;Sébastien Pietrasanta;SRC;0;0;0;1
373;Razzy Hammadi;SRC;0;0;0;3
375;Françoise Descamps-Crosnier;SRC;130;0;0;2
376;Guillaume Chevrollier;LES-REP;3;0;1;3
377;Nathalie Appéré;SRC;0;0;0;2
379;Gilles Savary;SRC;0;0;0;2
380;Marie-Françoise Bechtel;SRC;0;0;1;2
381;Pascal Popelin;SRC;3;0;10;2
382;Gérald Darmanin;LES-REP;3;0;1;1
383;Claude Sturni;LES-REP;3;0;1;2
385;Linda Gourjade;SRC;2;1;0;2
386;Pierre-Yves Le Borgn';SRC;0;1;3;1
387;Valérie Pecresse;LES-REP;3;12;12;2
389;Christian Franqueville;SRC;0;0;0;1
390;Serge Bardy;SRC;2;0;0;1
391;Seybah Dagoma;SRC;0;0;0;2
392;Pierre Aylagas;SRC;10;1;0;2
394;Marie Récalde;SRC;0;0;0;1
395;Nicolas Bays;SRC;0;0;0;1
396;Colette Capdevielle;SRC;0;0;0;1
397;Karine Berger;SRC;0;3;1;1
398;François-Michel Lambert;ECOLO;13;10;0;3
399;Fanny Dombre Coste;SRC;0;0;0;1
400;Nathalie Chabanne;SRC;2;0;0;1
402;Patrice Prat;SRC;0;0;0;1
403;Paul Molac;ECOLO;21;14;3;2
404;Jean-Pierre Le Roch;SRC;7;6;2;1
405;Kader Arif;SRC;0;0;0;2
406;Catherine Beaubatie;SRC;4;0;0;2
407;Jean-Claude Buisine;SRC;2;0;0;1
408;Olivier Falorni;RRDP;1;4;3;3
409;Hervé Pellois;SRC;7;0;0;4
411;Eva Sas;ECOLO;10;0;0;2
412;Jean-Louis Destans;SRC;0;0;0;3
413;Jean-Pierre Barbier;LES-REP;4;7;5;1
414;Jean-Jacques Cottel;SRC;0;0;0;2
417;Jean-Luc Bleunven;SRC;4;0;0;3
418;Valérie Corre;SRC;24;2;8;2
420;Isabelle Bruneau;SRC;3;0;0;2
422;Stéphane Saint-André;RRDP;1;0;0;1
423;Dominique Potier;SRC;2;0;1;1
424;Nicolas Sansu;GDR;0;5;0;4
426;Alain Leboeuf;LES-REP;3;0;0;2
428;Laurent Marcangeli;LES-REP;3;0;0;2
429;Stéphane Travert;SRC;26;1;2;2
431;Jean-Philippe Nilor;GDR;0;0;0;1
432;Sylviane Alaux;SRC;2;0;0;3
434;Christophe Léonard;SRC;3;0;0;2
435;Chantal Guittet;SRC;24;11;13;3
436;Jean Jacques Vlody;SRC;8;0;0;1
437;Jean-Yves Caullet;SRC;0;0;1;3
438;Sergio Coronado;ECOLO;19;1;0;2
439;Laurent Grandguillaume;SRC;0;0;0;3
440;Éric Alauzet;ECOLO;10;0;0;4
441;Daniel Gibbes;LES-REP;3;0;0;1
443;Philippe Bies;SRC;0;0;0;1
444;Erwann Binet;SRC;0;0;0;1
445;Béatrice Santais;SRC;0;0;0;1
446;Paola Zanetti;SRC;0;0;0;1
447;Gilles Lurton;LES-REP;4;15;3;3
448;Jean-David Ciot;SRC;4;0;0;1
449;Kheira Bouziane-Laroussi;SRC;12;0;0;2
450;Jean-Pierre Vigier;LES-REP;4;3;1;3
452;Annie Genevard;LES-REP;11;66;29;2
453;Jean-Pierre Allossery;SRC;24;0;0;1
455;Laurent Furst;LES-REP;3;0;20;2
456;Olivier Faure;SRC;0;0;0;2
457;Sophie Dessus;SRC;28;13;5;2
458;Philippe Baumel;SRC;2;0;4;3
461;Emeric Bréhier;SRC;24;0;0;2
462;Mathieu Hanotin;SRC;24;1;0;2
464;Claude de Ganay;LES-REP;3;0;0;2
465;Jeanine Dubié;RRDP;1;4;0;3
466;Isabelle Le Callennec;LES-REP;3;27;12;2
467;Valérie Rabault;SRC;0;2;0;2
468;Jean-Louis Roumegas;ECOLO;10;0;0;1
469;Sophie Errante;SRC;0;1;0;2
471;Florent Boudié;SRC;2;0;0;2
472;Christophe Castaner;SRC;0;0;0;1
473;Yves Foulon;LES-REP;3;0;1;2
474;Suzanne Tallard;SRC;2;0;0;2
475;Viviane Le Dissez;SRC;133;16;12;4
477;Gaby Charroux;GDR;0;0;0;1
478;Alain Fauré;SRC;0;0;1;5
479;Lucette Lousteau;SRC;24;0;0;2
480;Alain Marsaud;LES-REP;3;0;0;1
481;Patrick Mennucci;SRC;0;0;0;2
482;Catherine Vautrin;LES-REP;3;35;223;2
484;Charles de La Verpillière;LES-REP;3;0;6;2
485;Alexis Bachelay;SRC;0;0;2;1
486;Denis Baupin;ECOLO;13;8;16;3
487;Anne-Yvonne Le Dain;SRC;2;0;0;1
488;Julien Aubert;LES-REP;3;0;2;1
489;Danielle Auroi;ECOLO;10;2;0;2
490;Alain Tourret;RRDP;1;0;0;1
491;Marie-Arlette Carlotti;SRC;8;0;0;2
492;Monique Orphé;SRC;8;0;0;1
494;Denys Robiliard;SRC;9;3;1;3
495;Isabelle Attard;ECOLO;15;30;7;2
496;Marie-Anne Chapdelaine;SRC;3;0;0;2
497;Audrey Linkenheld;SRC;0;0;2;2
498;Hélène Geoffroy;SRC;8;0;0;2
499;Sophie Rohfritsch;LES-REP;4;0;1;2
500;Christine Pires Beaune;SRC;0;0;0;4
501;Elisabeth Pochon;SRC;0;2;0;2
502;Joëlle Huillier;SRC;30;69;54;4
503;Alain Calmette;SRC;0;0;0;3
504;Françoise Dubois;SRC;17;1;0;2
506;Jean-Louis Bricout;SRC;0;0;0;2
507;Sandrine Doucet;SRC;26;3;0;2
508;Marion Maréchal-Le Pen;NI;0;0;0;1
509;François André;SRC;2;0;0;2
510;Yann Galut;SRC;0;0;0;1
511;Frédéric Roig;SRC;0;0;0;1
512;Guillaume Larrivé;LES-REP;3;0;2;2
514;Gilbert Collard;NI;0;5;8;1
515;Philippe Kemel;SRC;0;0;0;1
517;Dominique Lefebvre;SRC;0;9;0;3
518;Henri Guaino;LES-REP;3;0;0;2
519;Yann Capet;SRC;2;0;0;1
521;Edith Gueugneau;SRC;0;0;0;2
522;Anne Grommerch;LES-REP;3;0;1;1
523;Yannick Moreau;LES-REP;3;0;0;2
524;Chaynesse Khirouni;SRC;10;3;0;2
525;Jean-Jacques Bridey;SRC;0;0;0;1
526;Gabriel Serville;GDR;0;1;0;1
527;Barbara Pompili;ECOLO;15;2;0;2
528;Yves Daniel;SRC;4;0;0;2
529;Patrice Carvalho;GDR;0;6;0;1
530;Virginie Duby-Muller;LES-REP;11;16;6;2
531;Annie Le Houerou;SRC;12;0;0;2
532;Bernadette Laclais;SRC;9;6;2;2
533;Rémi Pauvros;SRC;0;0;0;2
534;Philippe Le Ray;LES-REP;3;0;19;2
535;Jean-Luc Laurent;SRC;3;1;7;2
536;Estelle Grelier;SRC;0;0;0;2
537;Jean-Marc Germain;SRC;0;0;0;2
538;Jacques Alain Bénisti;LES-REP;3;2;2;3
539;Boinali Said;SRC;0;0;0;1
540;Sébastien Denaja;SRC;0;0;1;1
541;Michel Pouzol;SRC;24;13;14;2
543;Pascal Cherki;SRC;4;0;0;2
